time_hours,Reliability,P_fail,P_H,P_M,P_C,P_Q,P_MC,P_QM,P_QC,P_F
218.0,1.0,0.0,1.1320415367257325e-65,6.993217876247452e-68,1.0416916305350108e-68,1.866422835824244e-70,5.514167381620743e-71,9.954176094422736e-77,1.0,0.0
218.5,1.0,0.0,7.54875214777277e-66,4.673784897773006e-68,6.961548589611803e-69,1.244663249458384e-70,3.6921572125722195e-71,6.6381513171062805e-77,1.0,0.0
219.0,1.0,0.0,5.033707433856275e-66,3.1236193810722596e-68,4.652327398862499e-69,8.300298091383473e-71,2.4721562497265187e-71,4.4267905331701694e-77,1.0,0.0
219.5,1.0,0.0,3.3566091499157065e-66,2.0875901216486832e-68,3.10908373220528e-69,5.5352279258753346e-71,1.6552635797355276e-71,2.95209815304991e-77,1.0,0.0
220.0,1.0,0.0,2.2382756910976124e-66,1.3951795571699494e-68,2.077745329866408e-69,3.6912828394865845e-71,1.1082913281925348e-71,1.9686685780921507e-77,1.0,0.0
220.5,1.0,0.0,1.4925413849522234e-66,9.324224727304729e-69,1.3885130611335703e-69,2.4616093604876985e-71,7.420552869103146e-72,1.3128479249353178e-77,1.0,0.0
221.0,1.0,0.0,9.95266041022268e-67,6.231507573110436e-69,9.279090106619381e-70,1.6415758019523201e-71,4.968372684236326e-72,8.755001614838648e-78,1.0,0.0
221.5,1.0,0.0,6.636696994796205e-67,4.164580865597798e-69,6.200955191360517e-70,1.0947192238650098e-71,3.326501017010246e-72,5.838456313893147e-78,1.0,0.0
222.0,1.0,0.0,4.4255249536592504e-67,2.783218220387039e-69,4.1439030149839634e-70,7.300364482490741e-72,2.227187442018988e-72,3.893496918999192e-78,1.0,0.0
222.5,1.0,0.0,2.9510569988079016e-67,1.8600345681014084e-69,2.769225806873614e-70,4.868400948960217e-72,1.4911506121453589e-72,2.596459972071192e-78,1.0,0.0
223.0,1.0,0.0,1.967842798629408e-67,1.2430613954806591e-69,1.850567650776174e-70,3.246595103153664e-72,9.983478942353556e-73,1.7315037007392205e-78,1.0,0.0
223.5,1.0,0.0,1.3122095851357338e-67,8.30733950882894e-70,1.2366573414771509e-70,2.1650598988456212e-72,6.684023591786998e-73,1.1546894888139105e-78,1.0,0.0
224.0,1.0,0.0,8.750160310170024e-68,5.551740614620846e-70,8.264024989078664e-71,1.443815496911019e-72,4.4749659409461295e-73,7.70028849863962e-79,1.0,0.0
224.5,1.0,0.0,5.834838147882826e-68,3.710173427361514e-70,5.522448835749533e-71,9.628385666853675e-73,2.995968246206494e-73,5.135098482054013e-79,1.0,0.0
225.0,1.0,0.0,3.890824282661303e-68,2.4794599644774412e-70,3.690367587343169e-71,6.420890334565511e-73,2.0057666626079652e-73,3.424447821735675e-79,1.0,0.0
225.5,1.0,0.0,2.5945044600834144e-68,1.6569822083875177e-70,2.466070057523961e-71,4.28190495611158e-73,1.3428248247616631e-73,2.283664630005161e-79,1.0,0.0
226.0,1.0,0.0,1.7300841426815738e-68,1.1073284429303126e-70,1.647931135379666e-71,2.855477811927681e-73,8.989883902021858e-74,1.5229094924093968e-79,1.0,0.0
226.5,1.0,0.0,1.153665829760032e-68,7.400020791765243e-71,1.1012111090097224e-71,1.9042350408013476e-73,6.018449111918763e-74,1.0155840179392097e-79,1.0,0.0
